Attribute	AttributeID
NCIH838	NCIH838_LUNG
NCIN87	NCIN87_STOMACH
NIHOVCAR3	NIHOVCAR3_OVARY
NOMO1	NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
OAW42	OAW42_OVARY
OCIAML2	OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
OCIAML3	OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
OCIAML5	OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
OE33	OE33_OESOPHAGUS
OELE	OELE_OVARY
OPM2	OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
OV7	OV7_OVARY
OV90	OV90_OVARY
OVCAR4	OVCAR4_OVARY
OVCAR8	OVCAR8_OVARY
OVISE	OVISE_OVARY
PANC0327	PANC0327_PANCREAS
PANC0813	PANC0813_PANCREAS
PANC1005	PANC1005_PANCREAS
PLB985	PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
PSN1	PSN1_PANCREAS
QGP1	QGP1_PANCREAS
REH	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
RKN	RKN_SOFT_TISSUE
RKO	RKO_LARGE_INTESTINE
RMGI	RMGI_OVARY
RMUGS	RMUGS_OVARY
RS411	RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
RT112	RT112_URINARY_TRACT
SEM	SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SF126	SF126_CENTRAL_NERVOUS_SYSTEM
SF172	SF172_CENTRAL_NERVOUS_SYSTEM
SF295	SF295_CENTRAL_NERVOUS_SYSTEM
SF767	SF767_CENTRAL_NERVOUS_SYSTEM
SJSA1	SJSA1_BONE
SKCO1	SKCO1_LARGE_INTESTINE
SKMEL5	SKMEL5_SKIN
SKMM2	SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SKNO1	SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SKOV3	SKOV3_OVARY
SKRC20	SKRC20_KIDNEY
SLR20	SLR20_KIDNEY
SLR21	SLR21_KIDNEY
SLR23	SLR23_KIDNEY
SLR24	SLR24_KIDNEY
SLR25	SLR25_KIDNEY
SLR26	SLR26_KIDNEY
SNU1105	SNU1105_CENTRAL_NERVOUS_SYSTEM
SNU840	SNU840_OVARY
SNUC1	SNUC1_LARGE_INTESTINE
SNUC2A	SNUC2A_LARGE_INTESTINE
SU8686	SU8686_PANCREAS
SW1417	SW1417_LARGE_INTESTINE
SW1783	SW1783_CENTRAL_NERVOUS_SYSTEM
SW48	SW48_LARGE_INTESTINE
SW480	SW480_LARGE_INTESTINE
T98G	T98G_CENTRAL_NERVOUS_SYSTEM
TC71	TC71_BONE
TCCSUP	TCCSUP_URINARY_TRACT
